타마,64,186
다아,76,160
다자,84,154
파바,79,199
바카,92,185
파사,87,161
하바,53,177
나다,54,183
다카,97,176
사타,48,199
아나,83,184
자가,77,181
차하,89,172
라라,81,173
자바,50,179
차파,81,193
파다,61,193
자하,52,158
타나,41,190
차가,64,163
마자,76,174
하가,60,163
나마,65,182
카파,87,195
타차,98,199
차다,47,187
나나,98,161
파마,46,184
사타,66,177
가마,60,191
사가,68,168
자하,81,168
마카,65,190
파자,95,150
자하,58,188
다타,48,192
라마,77,187
다타,97,183
나아,40,166
가바,77,168
아나,43,178
차바,44,197
가마,66,185
라파,71,155
사마,60,191
바다,46,184
타파,46,189
나라,88,199
라차,70,192
자가,91,169
가카,95,177
마라,72,190
하차,46,199
카바,40,156
가카,80,189
자바,84,155
하아,44,172
하하,77,195
사타,53,194
가카,78,192
카하,79,160
자사,53,155
자가,41,174
사하,80,198
타가,93,191
마사,82,184
가다,52,180
라마,83,168
바마,98,160
카아,49,167
사타,97,194
카파,97,184
타다,50,191
아파,85,194
나자,83,187
차마,40,175
